run_name,model,img_size,data_frac,epochs,train_size,fid_ai,fid_nature,consistency_ai,consistency_nature,train_time_sec,seed
acgan_res32_f100,acgan,32,1.0,20,40000,121.02878125007828,125.29833011629074,0.19025,0.903,308.62,42
acgan_res64_f100,acgan,64,1.0,20,40000,213.39964020971425,233.62528340420639,0.026,0.9525,327.17,42
cvae_res32_f100,cvae,32,1.0,20,40000,321.5689294687864,360.808964891165,0.15775,0.927,303.82,42
cvae_res64_f100,cvae,64,1.0,20,40000,294.23354096011985,326.8741599046692,0.02375,0.98325,322.01,42
acgan_res64_f025,acgan,64,0.25,20,10000,227.80225788835187,235.55462116269467,0.234,0.77625,89.03,42
acgan_res64_f050,acgan,64,0.5,20,20000,199.7600368618087,213.50659795394137,0.31175,0.617,166.79,42
cvae_res64_f025,cvae,64,0.25,20,10000,274.92930381812215,306.0583308175497,0.115,0.89475,87.54,42
cvae_res64_f050,cvae,64,0.5,20,20000,317.6199266181858,357.7450484091986,0.1365,0.8535,165.73,42
acgan_res32_f100,acgan,32,1.0,20,40000,115.87869003078555,127.59610539588851,0.69325,0.3395,264.1,42
acgan_res64_f100,acgan,64,1.0,20,40000,195.34301921940477,200.33919030960607,0.159,0.915,271.67,42
cvae_res32_f100,cvae,32,1.0,20,40000,317.9749425222494,359.1352765655972,0.167,0.916,263.55,42
cvae_res64_f100,cvae,64,1.0,20,40000,287.4528465430053,323.85139708183254,0.05175,0.9555,269.73,42
dcgan_res32_f100,dcgan,32,1.0,20,40000,93.31889855158329,99.38199320511421,0.2905,0.2005,42
dcgan_res64_f100,dcgan,64,1.0,20,40000,114.92029677709337,139.0781466268648,0.30325,0.82775,42
acgan_res64_f025,acgan,64,0.25,20,10000,207.32117242789224,223.572074022187,0.091,0.9145,80.01,42
acgan_res64_f050,acgan,64,0.5,20,20000,183.85184575077628,192.23869444504936,0.72,0.4625,144.87,42
cvae_res64_f025,cvae,64,0.25,20,10000,272.91843411334287,304.5957938553256,0.03325,0.98125,76.93,42
cvae_res64_f050,cvae,64,0.5,20,20000,298.6897797055527,338.5227945969938,0.08675,0.91675,146.75,42
dcgan_res64_f025,dcgan,64,0.25,20,10000,196.4269751579103,257.7515057069511,0.34225,0.73225,42
dcgan_res64_f050,dcgan,64,0.5,20,20000,168.98282073464745,203.01312675499474,0.21225,0.9735,42
